"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04144","Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","174/5608","252/9447",0.69047619047619,1.16314703484818,3.17265249373637,0.00081216330655772,0.0044733439265957,0.00211691688927326,"GRK5/CBLC/EPN3/CAV1/LDLR/TGFBR2/SNX1/CAV2/IQSEC3/ARAP3/CXCR2/SH3GL3/HLA-E/MVB12B/ZFYVE9/SNX2/CXCR1/PIP5K1B/FGFR4/ARRB1/ARRB2/IQSEC1/RAB11FIP1/KIF5A/SPART/FOLR3/CAV3/FGFR2/EHD2/CHMP3/ARAP2/PIP5KL1/DAB2/VPS45/VPS37D/ARFGAP1/RHOA/ACTR3B/CHMP4C/SNF8/STAMBP/ARAP1/CLTC/PARD6B/EHD1/HGS/PDCD6IP/CYTH1/ACAP3/PSD3/EHD4/IL2RA/PSD/DNM1/RAB11FIP2/NEDD4L/ARPC1A/TFRC/RABEP1/RNF103-CHMP3/VPS25/WASHC2A/CBLB/ARFGEF1/ARPC2/SH3GL2/TRAF6/EPS15/PRKCZ/RNF41/CHMP4B/SNX3/SH3GLB1/ARPC5L/HSPA6/ARF4/SRC/RAB5B/RAB22A/PIP5K1A/KIF5C/GRK1/VPS36/RAB8A/HSPA1B/SH3GL1/RBSN/RAB10/ARF1/HSPA1L/AMPH/WASHC2C/PIP5K1C/USP8/ARFGEF2/WASHC3/GRK3/VPS37B/DNM2/SNX6/VPS35/HSPA1A/RAB31/VPS26B/AGAP4/WASHC5/RAB11A/ARPC5/STAM/RAB7A/CBL/AGAP6/ITCH/ARFGAP3/PSD2/SNX32/WIPF3/DNM3/ARPC1B/ASAP3/SMURF1/EEA1/ACTR3/AGAP9/CAPZA1/ARF5/RAB11FIP4/EPN2/ARFGAP2/CHMP4A/ARPC3/VPS4B/STAM2/GIT1/IGF2R/HLA-C/RAB5A/CDC42/SNX4/PSD4/RAB11B/FOLR1/ACTR3C/RAB5C/AP2A1/GBF1/PARD3/RAB11FIP3/ACAP1/GRK4/PLD1/BIN1/CHMP1A/GRK2/EHD3/WIPF1/CYTH2/AP2S1/ZFYVE27/WASL/HSPA8/CYTH4/PDGFRA/VPS37A/EGFR/HLA-B/AGAP3/ACAP2/SMAP2/DNAJC6/ASAP1/HRAS/CLTCL1/CAPZA2",174
"hsa04960","Organismal Systems","Excretory system","hsa04960","Aldosterone-regulated sodium reabsorption","32/5608","38/9447",0.842105263157895,1.4185749680907,3.12472810677752,0.000919512696578565,0.00492914118575064,0.00233261345359351,"ATP1A2/PIK3R1/ATP1B2/SGK1/ATP1B1/PRKCG/NEDD4L/NHERF2/PIK3R3/NR3C2/KRAS/ATP1A3/ATP1B3/SFN/PIK3R2/MAPK3/PRKCB/IRS1/SCNN1G/KCNJ1/SCNN1A/MAPK1/HSD11B2/ATP1A1/SCNN1B/FXYD4/PDPK1/ATP1A4/FXYD2/PRKCA/INSR/PIK3CA",32
"hsa04020","Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","175/5608","254/9447",0.688976377952756,1.16062051400137,3.13623181872516,0.000923326158714096,0.00492914118575064,0.00233261345359351,"EDNRB/ITPKA/ADRB2/TNNC1/PHKA1/ADCY4/GNAQ/GRIN1/VEGFD/CHRM1/ADRB1/FGF19/CALM1/CASQ2/MCOLN1/FGFR4/PDGFB/FGF10/ADRA1A/FGF2/PPIF/NFATC1/FLT4/PDE1B/PLCE1/ARLN/GRIN2D/PPP3CC/EGF/ATP2A1/PHKG2/CACNA1S/FGFR2/CACNA1E/ITPKC/NFATC4/NTRK3/ADCY9/AVPR1B/CHRM2/CALML6/GDNF/MYLK/ATP2A2/TNNC2/FGF5/CAMK2A/RET/GNA11/CALML5/TBXA2R/ADRA1D/CAMK2B/CACNA1I/PRKCG/MST1/TGFA/VDAC1/MST1R/AGTR1/NFATC3/P2RX1/NTSR1/ADCY8/SLC8A3/ERBB2/LHCGR/PTK2B/ASPH/FGF20/HTR2B/ERBB3/ERBB4/PTAFR/P2RX5/NTRK2/CACNA1B/P2RX7/LTB4R2/P2RX2/HTR6/SLC8A1/MYLK3/PRKACA/P2RX6/PDE1C/MET/MCU/EDNRA/SLC8A2/PLCD1/ADORA2B/PLCZ1/FLT1/VDAC3/SLC25A4/CYSLTR2/ITPKB/PLCB1/ORAI1/CACNA1G/GRIN3B/HTR2C/P2RX3/PLN/NOS1/PLCG2/ATP2B4/MYLK2/FGF7/PRKCB/CACNA1C/PDGFA/NFATC2/PTGFR/ITPR1/GRIN2C/ORAI2/GRIN2A/HGF/PLCB3/GNAS/RYR2/KDR/CYSLTR1/TFEB/HRC/ATP2A3/CHRM5/NGF/SLN/CALML4/PLCB2/F2R/PDGFC/NTRK1/FGF8/TACR1/FGFR1/BDKRB2/CHRM3/VEGFA/PLCB4/ADCY7/SPHK1/PDGFD/HTR4/PPP3CB/ORAI3/PPP3CA/SLC25A5/MCOLN3/FGF18/CAMK1/ATP2B1/ADRA1B/PLCD3/VDAC2/STIM1/CCKBR/P2RX4/PRKCA/NOS2/VEGFC/PDGFRA/RYR1/CHRNA7/EGFR/GRM1/ATP2B3/AVPR1A/CAMK1G/ITPR3/TPCN1/CACNA1F",175
"hsa05231","Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","74/5608","99/9447",0.747474747474748,1.25916439718152,3.13294306407482,0.000939479378222953,0.00493938400368734,0.00233746065395184,"PLPP2/PLPP3/RAC3/WASF3/SLC44A2/PLA2G4F/PIP5K1B/PDGFB/PLA2G4A/EGF/PIK3R1/DGKI/SLC44A5/EIF4EBP1/FOS/WASF1/JUN/DGKA/RPS6KB2/PCYT1B/PRKCG/WASF2/LYPLA1/SLC22A4/AKT3/PLA2G4C/RHEB/PLA2G4D/RPS6KB1/WAS/PIK3R3/CHKB/HIF1A/KRAS/CHPT1/PIP5K1A/DGKK/MTOR/PIK3R2/MAPK3/PIP5K1C/PRKCB/PDGFA/MAPK10/GRB2/DGKQ/TSC2/SLC44A4/DGKB/RAC2/PDGFC/SLC22A3/SLC5A7/SOS2/MAPK1/PDGFD/RAC1/SLC44A1/PDPK1/AKT2/DGKZ/PLD1/DGKE/PRKCA/PDGFRA/DGKG/EGFR/NRAS/PIK3CA/RAF1/PLPP1/TSC1/MAP2K2/HRAS",74
"hsa04210","Cellular Processes","Cell growth and death","hsa04210","Apoptosis","99/5608","137/9447",0.722627737226277,1.2173081728917,3.09656656660583,0.00106934848417875,0.00553826752253773,0.00262086981196993,"BIRC5/IL3RA/LMNB1/CASP12/SEPTIN4/GADD45B/PARP1/SPTAN1/DAB2IP/CASP6/AIFM1/PIK3R1/CASP3/CTSV/TRAF2/FOS/PMAIP1/LMNB2/JUN/NFKBIA/PARP2/TUBA1A/TUBA1C/DIABLO/CTSO/BAK1/CTSS/PIDD1/NOL3/CASP2/TUBA4A/CFLAR/BCL2A1/PRF1/MCL1/CSF2RB/TUBA3D/AKT3/BCL2L11/DFFB/TUBAL3/PIK3R3/TNFRSF10A/TRAF1/FADD/BBC3/KRAS/CASP8/CTSK/MAP3K14/CYCS/CTSW/PIK3R2/DDIT3/MAPK3/TRADD/TP53/IKBKB/LMNA/MAPK10/CTSH/XIAP/TUBA8/CAPN1/DFFA/ITPR1/CTSF/TNFSF10/GADD45G/PTPN13/DAXX/RIPK1/EIF2AK3/TNFRSF10B/NFKB1/CTSZ/NGF/HTRA2/ACTG1/FAS/MAPK1/NTRK1/GADD45A/CTSD/PDPK1/BAX/AKT2/CASP7/BID/CTSC/NRAS/PIK3CA/RAF1/ATM/ITPR3/MAP2K2/BIRC3/HRAS/EIF2S1",99
"hsa04514","Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecules","114/5608","160/9447",0.7125,1.20024741440799,3.08750807975833,0.00110196831177583,0.00562327947332667,0.00266109994794164,"PECAM1/CDH5/JAM2/SPN/VSIR/CLDN5/SELP/CD34/CLDN6/ESAM/HLA-E/CDH3/CLDN10/ITGA8/SELE/ICAM2/JAML/CLDN12/SELPLG/PTPRM/NECTIN1/CLDN3/VCAN/CLDN18/CDH1/CLDN4/VTCN1/CDH15/SLITRK2/NEGR1/ITGAL/CLDN14/CLDN9/JAM3/CNTNAP2/SDC2/CLDN2/CADM1/ITGAV/NFASC/LRRC4B/SIGLEC1/TIGIT/CDH2/CD4/HLA-DRA/NLGN2/MAG/CD276/NTNG1/SDC1/HLA-DPA1/CLDN11/HLA-DOA/CLDN7/PTPRD/CTLA4/IGSF11/HLA-DPB1/LRRC4/PDCD1LG2/HLA-DRB1/ICAM1/ITGB8/CD86/SDC4/ITGAM/SLITRK1/HLA-DRB5/CNTN2/PTPRC/PDCD1/HLA-DQA1/ICOS/CD58/LRRC4C/CADM3/NEO1/CLDN1/HLA-DQB1/ITGB2/HLA-DMA/SLITRK5/ALCAM/HLA-DMB/ITGA9/NECTIN2/PTPRF/L1CAM/CD274/CLDN20/CD22/CD40LG/NRXN3/CD28/VCAM1/SLITRK3/HLA-C/CD40/SLITRK6/PTPRS/MADCAM1/NRXN1/CDH4/ITGA4/HLA-DOB/CLDN16/HLA-B/NCAM2/ITGB7/ICAM3/NECTIN3/CD226/CD80",114
"hsa05412","Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","65/5608","86/9447",0.755813953488372,1.27321227150582,3.0761479691624,0.00115122054784508,0.00578947145075714,0.00273974684155351,"SGCG/ITGA11/ACTN2/DES/ITGA8/DSP/SGCA/DSG2/ATP2A1/CAV3/CACNA1S/SGCB/CACNB3/CACNA2D2/ATP2A2/ITGB4/CACNG5/ITGA2/ITGAV/SLC8A3/GJA1/JUP/CDH2/SGCE/CACNB4/LEF1/ITGA1/SLC8A1/ITGB8/PKP2/ITGA10/DMD/SLC8A2/SNTB2/SGCD/SNTA1/DSC2/LAMA2/ITGB3/NOS1/LMNA/CACNA1C/ITGA5/CACNG6/RYR2/CACNB1/ITGA9/CACNG1/TCF7L2/ATP2A3/ACTG1/LAMA1/CACNA2D3/CTNNA2/CTNNA3/ACTN3/CACNG4/TCF7L1/ITGB5/SSPN/ITGA4/CACNG8/CTNNB1/ITGB7/CACNA1F",65
"hsa04066","Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","81/5608","110/9447",0.736363636363636,1.24044708857476,3.06571022985219,0.00119426234943189,0.00592012907504092,0.0028015778422763,"EPAS1/TEK/ANGPT4/SLC2A1/PDK1/EGLN3/PFKP/GAPDH/ANGPT1/LDHA/IL6/ENO1/EDN1/TIMP1/TLR4/EGF/HK3/ENO3/PIK3R1/EIF4EBP1/TF/IFNGR1/HKDC1/CAMK2A/RPS6KB2/CAMK2B/ALDOA/CYBB/PRKCG/CDKN1A/ELOC/ERBB2/EIF4E1B/IFNGR2/TFRC/AKT3/VHL/IL6R/PGK1/LDHB/MKNK2/RPS6KB1/PIK3R3/HMOX1/HIF1A/ALDOB/ENO2/FLT1/MTOR/LTBR/PIK3R2/MAPK3/PLCG2/IFNG/PRKCB/ALDOC/STAT3/PDHA1/MKNK1/PFKFB3/ARNT/NFKB1/CUL2/PFKL/EGLN1/ELOB/MAPK1/VEGFA/SERPINE1/LDHAL6B/AKT2/EP300/LDHC/PRKCA/NOS2/EIF4E/CDKN1B/EGFR/INSR/PIK3CA/MAP2K2",81
"hsa03410","Genetic Information Processing","Replication and repair","hsa03410","Base excision repair","36/5608","44/9447",0.818181818181818,1.37827454286085,3.03961901264519,0.00129013620064922,0.00630531354401801,0.00298385837362903,"NEIL3/POLE2/RFC4/FEN1/POLG2/PARP1/SMUG1/LIG3/PCNA/LIG1/RFC5/POLB/POLE/UNG/RFC2/PARP2/POLD2/APEX1/RFC3/TDG/TDP1/PNKP/POLD1/MUTYH/NTHL1/PARG/MPG/POLE3/APTX/MBD4/POLD4/POLL/HMGB1/RFC1/XRCC1/NEIL1",36
"hsa05211","Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","54/5608","70/9447",0.771428571428571,1.29951599755451,3.03987693822579,0.00130849377837687,0.00630621307078854,0.00298428405594726,"EPAS1/SLC2A1/PAK1/EGLN3/GAB1/RAP1A/PDGFB/ETS1/RAPGEF1/PIK3R1/PAK6/CRK/JUN/TGFA/PRCC/CDKN1A/FLCN/FH/ELOC/AKT3/VHL/PAK3/PIK3R3/MET/HIF1A/KRAS/TGFB2/PIK3R2/MAPK3/TGFB1/PAK5/GRB2/HGF/TFE3/ARNT/CUL2/EGLN1/ELOB/SOS2/MAPK1/RAP1B/VEGFA/CDC42/RAC1/PTPN11/AKT2/EP300/ARNT2/ARAF/NRAS/PIK3CA/RAF1/MAP2K2/HRAS",54
"hsa05215","Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","78/5608","106/9447",0.735849056603774,1.23958024923963,2.99796236083668,0.00151287245189829,0.00705529745893093,0.00333877264854611,"ERG/CCNE1/E2F2/E2F3/CCNE2/MMP3/PLAU/PDGFB/CREB3L4/ZEB1/SLC19A1/HSP90B1/FOLR3/EGF/PIK3R1/FGFR2/E2F1/ETV5/MMP9/NFKBIA/HSP90AB1/TGFA/CDKN1A/SPINT1/ERBB2/CREB3L2/AKT3/FOXO1/INSRR/PLAT/LEF1/PIK3R3/KRAS/CDK2/MTOR/PIK3R2/MAPK3/FOLH1/TP53/IKBKB/PDGFA/GRB2/RB1/PTEN/TMPRSS2/TCF7L2/NFKB1/AR/GSTP1/PDGFC/GSK3B/CREB5/SOS2/MAPK1/NKX3-1/FGFR1/IL1R2/PDGFD/HSP90AA1/FOLR1/TCF7L1/PDPK1/AKT2/EP300/CREB3L1/CREB3/CREB3L3/ARAF/PDGFRA/CDKN1B/EGFR/NRAS/PIK3CA/GRM1/RAF1/CTNNB1/MAP2K2/HRAS",78
"hsa05017","Human Diseases","Neurodegenerative disease","hsa05017","Spinocerebellar ataxia","103/5608","144/9447",0.715277777777778,1.20492674155968,2.99493421394301,0.00151960759627906,0.00705529745893093,0.00333877264854611,"SPTBN2/GNAQ/BEAN1/GRIN1/GRIA1/TWNK/PPIF/ULK2/GRIN2D/ATP2A1/NFYA/PIK3R1/SEM1/PSMD4/TRAF2/BECN2/PSMD11/PSMB4/PSMD14/NOP56/ATP2A2/ATXN1L/PSMC4/ATXN2L/PSMA6/PRKCG/VDAC1/PSMB3/PSMA5/PSMB2/PSMD3/PSMB5/PSMC6/AKT3/RORA/PSMD12/KAT5/PSMA1/PSMD1/TRPC3/VLDLR/FGF14/PIK3R3/ULK1/PSMD2/PSMD7/WIPI2/PSMA2/ADRM1/PSMC5/MCU/CYCS/OPA1/VDAC3/SLC25A4/MTOR/PIK3R2/PLCB1/GRIN3B/ATG14/GRIA2/PSMA3/PRKCB/PSMC2/MAPK10/PUM1/XBP1/ATXN3/ITPR1/GRIN2C/GRIN2A/PSMD13/PLCB3/PSMB7/PIK3C3/PSMA7/SLC1A6/OMA1/PSMA4/PSMD8/ATP2A3/WIPI1/PLCB2/BECN1/RELN/PSMC3/PLCB4/ATG2B/ATG2A/AKT2/SLC25A5/PSMC1/VDAC2/PSMD9/PRKCA/RYR1/KCND3/ATXN1/PIK3CA/GRM1/ATG101/ITPR3/PSMB6",103
"hsa04015","Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","147/5608","212/9447",0.693396226415094,1.16806600409119,2.99121942246903,0.00152492020005712,0.00705529745893093,0.00333877264854611,"TEK/ANGPT4/EFNA4/EFNA3/EFNA2/ADCY4/GNAQ/RAPGEF4/ARAP3/GRIN1/VEGFD/RAC3/P2RY1/DOCK4/ANGPT1/FGF19/CALM1/RAP1A/FGFR4/MRAS/PDGFB/F2RL3/FPR1/FGF10/RRAS/FGF2/TLN1/FLT4/GNAI2/PLCE1/LPAR2/EGF/RAPGEF1/PIK3R1/FGFR2/ADCY9/CDH1/MAGI1/RGS14/EFNA5/CRK/CALML6/RAPGEF2/RHOA/PFN4/FGF5/ITGAL/CALML5/PARD6B/PFN2/PRKCG/ENAH/ADCY8/RASGRP2/EVL/PGF/MAGI3/CNR1/MAGI2/AKT3/RAPGEF5/RASSF5/PRKD1/FGF20/MAPK13/PRKCZ/PIK3R3/ITGAM/MET/KRAS/SRC/RAPGEF3/RALA/APBB1IP/ADORA2B/AFDN/FLT1/PIK3R2/ITGB3/PLCB1/MAPK3/MAP2K6/LPAR5/FGF7/LCP2/ID1/PRKCB/PDGFA/THBS1/VAV2/MAP2K3/TIAM1/GRIN2A/HGF/ITGB2/LAT/PLCB3/GNAS/SIPA1L3/MAPK11/MAPK12/KDR/KRIT1/CSF1/RAC2/GNAO1/NGF/ACTG1/CALML4/PLCB2/F2R/PDGFC/FARP2/MAPK1/EFNA1/SKAP1/FGF8/FGFR1/RAP1B/VEGFA/CDC42/PLCB4/ADCY7/PDGFD/VASP/RAC1/CTNND1/LPAR4/PRKD3/AKT2/PARD3/FGF18/RAP1GAP/GNAI1/PRKCA/VEGFC/PDGFRA/EGFR/NRAS/INSR/PIK3CA/RAF1/RALB/CTNNB1/CSF1R/MAP2K2/HRAS",147
"hsa04934","Human Diseases","Endocrine and metabolic disease","hsa04934","Cushing syndrome","110/5608","155/9447",0.709677419354839,1.19549261423773,2.96592742517565,0.00167352331814069,0.00759965315092126,0.00359637764763754,"CCNE1/LDLR/WNT3A/E2F2/E2F3/ADCY4/WNT3/GNAQ/CDKN2A/CCNE2/RAP1A/FZD4/KCNA4/CREB3L4/PDE8B/GNAI2/CACNA1S/AGT/E2F1/ADCY9/KCNK3/MEN1/WNT9A/CAMK2A/GNA11/NR4A1/CAMK2B/RBBP5/CDKN2B/WNT2B/CACNA1I/FZD9/CDKN1A/AGTR1/FH/ADCY8/CDK4/APC/WNT10A/WNT6/CREB3L2/NR5A1/WNT7A/RASD1/WDR5/FZD3/AXIN1/LEF1/CYP21A2/PDE11A/DVL3/WNT16/FZD5/PRKACA/CYP17A1/CDKN2C/WNT2/WNT10B/WDR5B/KCNK2/ATF6B/WNT8B/AXIN2/CDK2/PLCB1/ORAI1/MAPK3/CACNA1G/NCEH1/WNT11/DVL1/WNT5B/PBX1/CACNA1C/USP8/RB1/FZD10/ITPR1/PLCB3/WNT1/GNAS/WNT7B/ATF2/TCF7L2/ARNT/FZD7/PLCB2/WNT9B/GSK3B/CREB5/MAPK1/CRHR2/RAP1B/FZD8/PLCB4/ADCY7/TCF7L1/DVL2/FZD6/CREB3L1/GNAI1/CREB3/CREB3L3/ARMC5/CDKN1B/EGFR/CTNNB1/ITPR3/MAP2K2/CACNA1F",110
"hsa05131","Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","173/5608","253/9447",0.683794466403162,1.15189128461317,2.95978239792924,0.00168637836490184,0.00759965315092126,0.00359637764763754,"PRKCE/NLRC4/MYL9/CBX3/H3C10/H3C12/TLR4/TRAF5/H3C2/TLN1/H3C3/FOXO6/PLCE1/PRKCQ/H3C8/ATG16L1/HK3/CTTN/PIK3R1/FOXO4/TRAF2/BNIP3/BECN2/CRK/RHOA/WASF1/ACTR3B/JUN/PFN4/NFKBIA/HKDC1/RPS6KB2/FOXO3/H3C6/CYTH1/PFN2/RRAGB/IRF3/WASF2/CD44/VDAC1/CALCOCO2/MYD88/CASP1/H3C1/ARPC1A/SEPTIN3/RRAGA/AKT3/FOXO1/ELMO1/SHARPIN/ARPC2/RNF31/RPS6KB1/FNBP1/H3C13/TRAF6/MAPK13/MAP1LC3C/PIK3R3/IL1R1/SEPTIN9/VCL/CGAS/WIPI2/GLMN/ARPC5L/H3-3A/SRC/ARHGEF2/CYCS/NLRP3/PLCD1/PTK2/PLCZ1/MYL12A/MTOR/IL1B/PIK3R2/UBE2V1/PRKCD/ARF1/PLCB1/H3C14/MAPK3/PLCG2/TRADD/ATG14/MAP1LC3B/UBE2V2/TP53/IKBKB/ROCK1/PPID/MAPK10/CAPN1/UBB/ITGA5/STING1/ITPR1/MYL11/UBE2D1/UBE2D3/HCLS1/PLCB3/TLR5/H3-3B/ARPC5/MAPK11/MAPK12/RPS6KA5/ILK/PIK3C3/NOD1/TAB2/RRAGD/GSK3A/ACTN4/DIAPH1/RIPK1/ARPC1B/NFKB1/WIPI1/RRAGC/ACTG1/PLCB2/ACTR3/CAPNS1/MYL12B/AKT1S1/MAP3K7/GSK3B/BECN1/MAPK1/TBK1/FNBP1L/ARPC3/SQSTM1/PXN/CDC42/TECPR1/PLCB4/SEPTIN11/SEPTIN6/UBC/MYL5/RAC1/ACTR3C/IL18/BAX/CD14/AKT2/RIPK2/PLCD3/PYCARD/ROCK2/CYTH2/H3-7/MAP1LC3A/SEPTIN7/WASL/ATG12/CYTH4/TIFA/EGFR/PIK3CA/ATM/TAB1/U2AF1L4/ITPR3/CSF2/RPS27A",173
"hsa04392","Environmental Information Processing","Signal transduction","hsa04392","Hippo signaling pathway - multiple species","25/5608","29/9447",0.862068965517241,1.45220497811009,2.94763640666197,0.00176089658907984,0.00783373226167571,0.0037071507138523,"LATS2/PAK1/WWTR1/RASSF2/LIMD1/RASSF1/DCHS1/WWC1/RASSF6/FAT4/SAV1/CSNK1E/RASSF4/WTIP/TEAD1/STK3/TEAD3/TEAD4/FRMD6/AJUBA/DCHS2/LATS1/TEAD2/MOB1B/YAP1",25
"hsa01230","Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","57/5608","75/9447",0.76,1.28026390870185,2.94510364608425,0.00182440508813331,0.0079579330624683,0.00376592615727303,"PYCR1/ALDH18A1/GPT2/PSAT1/CPS1/PFKP/PC/GAPDH/SHMT2/PAH/OTC/PYCR3/ENO1/TPI1/RPE/ENO3/IDH2/PKM/GPT/PSPH/PRPS2/ALDOA/GOT1/ASNS/CTH/PYCR2/PGK1/ACY1/GOT2/TKT/IDH1/ARG2/SDSL/ARG1/ALDOB/ENO4/SDS/ENO2/IDH3G/CBS/GLUL/TALDO1/MAT1A/ASS1/PGAM1/ALDOC/RPIA/CS/MAT2B/PGAM4/PFKL/SHMT1/PHGDH/LOC102724560/BCAT1/PRPS1/ACO2",57
"hsa04380","Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","102/5608","143/9447",0.713286713286713,1.20157267839151,2.93551126580335,0.00185728719631752,0.0079579330624683,0.00376592615727303,"SIRPB1/TGFBR2/TNFSF11/FHL2/OSCAR/ACP5/JUND/NCF2/LILRA5/LILRA1/FOSB/SPI1/NFATC1/LILRB3/SOCS3/FCGR3B/BTK/PPP3CC/ATP2A1/SIRPA/PIK3R1/TYROBP/MITF/TRAF2/GAB2/JUNB/FOS/IFNGR1/LILRA6/ATP2A2/JUN/PPARG/NFKBIA/NOX1/NCF1/SIRPG/FCGR3A/TNFRSF11A/STAT2/IFNGR2/AKT3/IRF9/JAK1/TRAF6/MAPK13/PIK3R3/FCGR1A/IL1R1/STAT1/FYN/TMEM64/CTSK/MAP3K14/CALCR/FCGR2A/TGFB2/LILRB1/IL1B/PIK3R2/ITGB3/MAPK3/LILRB2/NCF4/MAP2K6/PLCG2/IL1A/IFNG/LCP2/IKBKB/CYLD/MAPK10/NFATC2/TGFB1/FOSL2/TREM2/GRB2/ITPR1/BLNK/MAPK11/MAPK12/TAB2/LILRB5/IFNAR2/ATP2A3/CSF1/NFKB1/SYK/LILRA2/TYK2/MAP3K7/MAPK1/SQSTM1/RAC1/PPP3CB/AKT2/PPP3CA/FCGR2B/PIK3CA/TAB1/TEC/ITPR3/CSF1R",102
"hsa05100","Human Diseases","Infectious disease: bacterial","hsa05100","Bacterial invasion of epithelial cells","59/5608","78/9447",0.756410256410256,1.2742167782289,2.93909499306974,0.00186138402157196,0.0079579330624683,0.00376592615727303,"ARHGEF26/CAV1/CAV2/GAB1/CAV3/SHC3/CTTN/PIK3R1/CD2AP/CDH1/CRK/ELMO3/RHOA/WASF1/ACTR3B/CLTC/SHC1/MAD2L2/WASF2/DNM1/ARPC1A/SEPTIN3/ELMO1/ARPC2/PIK3R3/SEPTIN9/VCL/MET/ARPC5L/SRC/PTK2/RHOG/PIK3R2/DNM2/ITGA5/HCLS1/ARPC5/CBL/ILK/DNM3/ARPC1B/ACTG1/ACTR3/ARPC3/CTNNA2/PXN/CDC42/CTNNA3/SEPTIN11/SEPTIN6/RAC1/ACTR3C/ARHGAP10/SEPTIN1/WASL/PIK3CA/SHC2/CTNNB1/CLTCL1",59
"hsa04625","Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","77/5608","105/9447",0.733333333333333,1.23534236804565,2.93085109473418,0.00190230180764321,0.0079579330624683,0.00376592615727303,"CLEC4M/PAK1/CALM1/IKBKE/IL6/EGR2/MRAS/IL23A/RRAS/IL17D/NFATC1/PPP3CC/PIK3R1/NFATC4/EGR3/CALML6/RHOA/JUN/FCER1G/NFKBIA/CALML5/PLK3/CLEC4E/NFATC3/CLEC1B/CASP1/STAT2/AKT3/IRF9/CLEC6A/CBLB/MAPK13/PIK3R3/STAT1/CLEC4D/KRAS/CASP8/SRC/MAP3K14/NLRP3/IL1B/PIK3R2/PRKCD/MAPK3/IRF1/PLCG2/IKBKB/CYLD/MAPK10/NFATC2/CCL22/ITPR1/IL12B/LSP1/MAPK11/MAPK12/IL12A/NFKB1/CLEC7A/SYK/CALML4/ARHGEF12/MAPK1/KSR1/PPP3CB/PTPN11/AKT2/PPP3CA/CARD9/PYCARD/RRAS2/IL2/NRAS/PIK3CA/RAF1/ITPR3/HRAS",77
"hsa04371","Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway","100/5608","140/9447",0.714285714285714,1.20325555329122,2.92833324508576,0.0019034825480832,0.0079579330624683,0.00376592615727303,"PRKCE/SPP1/ADCY4/GNAQ/GNGT1/GNG4/MEF2A/CALM1/MRAS/KLF2/RRAS/GNAI2/EGR1/CCN2/GNB3/GNG11/PIK3R5/ADCY9/CDH1/BECN2/APLNR/MYL3/CALML6/MYLK/APLN/CALML5/RPS6KB2/GNGT2/GNG2/AGTR1/ADCY8/SLC8A3/GNG7/AKT3/APELA/PLAT/PRKAA2/RPS6KB1/MYL4/MAP1LC3C/TFAM/SLC8A1/MYLK3/PRKACA/NOTCH3/GNB5/KRAS/SLC8A2/SMAD4/ADCY10/PDE3B/MTOR/PLCB1/MAPK3/NOS1/GNG3/MAP1LC3B/MYLK2/HDAC5/GNG13/BORCS8-MEF2B/ITPR1/PIK3CG/PRKAB2/PLCB3/GNB4/RYR2/PIK3C3/HDAC4/MEF2C/CALML4/PLCB2/SLC9A1/BECN1/MAPK1/PRKAA1/PLCB4/ADCY7/SPHK1/SERPINE1/ACTA2/MEF2D/PRKAG1/AKT2/NRF1/JAG1/GNAI1/RRAS2/MAP1LC3A/NOS2/RYR1/GNG5/GNG8/NRAS/PPARGC1A/GNA13/RAF1/ITPR3/MAP2K2/HRAS",100
